Entity,Code,Year,Deaths in ongoing conflicts (high estimate) - Conflict type: all,Deaths in ongoing conflicts (best estimate) - Conflict type: all,Deaths in ongoing conflicts (low estimate) - Conflict type: all
Africa,,1989,60205,41012,41004
Africa,,1990,89924,72786,70174
Africa,,1991,46762,33941,31977
Africa,,1992,40464,18434,17778
Africa,,1993,86390,40900,37530
Africa,,1994,1657318,791652,365372
Africa,,1995,34418,20653,18174
Africa,,1996,85848,64378,52502
Africa,,1997,98254,47132,45270
Africa,,1998,54394,35910,33309
Africa,,1999,97690,75034,73235
Africa,,2000,81118,68058,66440
Africa,,2001,24862,16686,14819
Africa,,2002,31574,22180,21099
Africa,,2003,46721,18792,18069
Africa,,2004,47281,17257,16373
Africa,,2005,7225,5222,4947
Africa,,2006,14118,7603,7281
Africa,,2007,8237,5694,5578
Africa,,2008,11798,8152,8047
Africa,,2009,15545,12612,11945
Africa,,2010,11282,7130,6753
Africa,,2011,19869,14006,13282
Africa,,2012,14802,10786,10239
Africa,,2013,25618,15242,13954
Africa,,2014,33360,24230,22283
Africa,,2015,26428,20480,19687
Africa,,2016,23370,16352,14669
Africa,,2017,23303,18003,17207
Africa,,2018,18809,15184,13698
Africa,,2019,18750,15353,13491
Africa,,2020,48351,41833,39601
Africa,,2021,157584,148658,145492
Africa,,2022,201616,188204,186113
Africa,,2023,45271,32411,30716
Americas,,1989,12271,9414,8722
Americas,,1990,3936,3586,3044
Americas,,1991,4135,2982,2563
Americas,,1992,4250,3276,3003
Americas,,1993,1982,1420,1288
Americas,,1994,3194,2241,2019
Americas,,1995,1675,1412,1325
Americas,,1996,1647,1540,1522
Americas,,1997,1238,1052,1050
Americas,,1998,2384,1686,1685
Americas,,1999,2655,2207,2181
Americas,,2000,5184,4373,4335
Americas,,2001,8418,7782,7753
Americas,,2002,6699,5802,5605
Americas,,2003,4734,4573,4527
Americas,,2004,4175,3738,3619
Americas,,2005,2196,2038,2027
Americas,,2006,1439,1230,1230
Americas,,2007,2691,2286,2287
Americas,,2008,4317,4262,4258
Americas,,2009,6288,6123,6091
Americas,,2010,7059,6695,6689
Americas,,2011,5862,5219,5099
Americas,,2012,6607,6400,6373
Americas,,2013,4680,4626,4623
Americas,,2014,4112,3462,3462
Americas,,2015,4870,4797,4016
Americas,,2016,5379,4448,4448
Americas,,2017,12884,12719,12718
Americas,,2018,15581,14754,14751
Americas,,2019,13909,13797,13766
Americas,,2020,18006,17955,17950
Americas,,2021,20590,20088,20070
Americas,,2022,16698,16610,16590
Americas,,2023,17304,17170,17030
Asia and Oceania,,1989,31753,14570,8825
Asia and Oceania,,1990,18144,14610,13976
Asia and Oceania,,1991,20258,17648,17259
Asia and Oceania,,1992,24146,19495,19397
Asia and Oceania,,1993,17185,10482,10462
Asia and Oceania,,1994,18288,13306,13180
Asia and Oceania,,1995,17700,14516,14428
Asia and Oceania,,1996,15588,13572,13337
Asia and Oceania,,1997,16906,13182,10964
Asia and Oceania,,1998,24001,19703,17323
Asia and Oceania,,1999,16498,12865,12202
Asia and Oceania,,2000,18983,16386,14933
Asia and Oceania,,2001,23364,11490,10830
Asia and Oceania,,2002,11828,10611,9291
Asia and Oceania,,2003,9557,7613,7209
Asia and Oceania,,2004,9917,8226,7567
Asia and Oceania,,2005,7904,6880,6577
Asia and Oceania,,2006,14593,11669,11481
Asia and Oceania,,2007,18255,14248,13400
Asia and Oceania,,2008,26299,21497,20885
